receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,friends_in_path,pass_length,yards_to_go,yardline_num,yards_gained
116.48,23.38,0.22,1.04,0.03,234.16,163.29,2.434029580756987,114.05,23.52,3.08,1.9,0.33,89.91,150.95,3,6,-8.480000000000004,10,2,36.480000000000004
84.0,26.44,0.3,1.68,0.02,301.66,292.13,4.2907342029074655,79.98,24.94,2.23,2.48,0.24,95.74,36.75,11,11,-8.0,6,34,13.0
14.2,27.31,0.73,1.13,0.08,104.22,293.4,3.5072068658691946,17.42,28.7,2.93,1.76,0.31,225.12,257.92,0,0,-6.800000000000001,5,11,16.8
23.62,27.86,0.57,0.81,0.05,133.66,93.33,1.9911052207254145,23.41,29.84,1.81,2.79,0.19,153.7,205.56,0,1,-7.379999999999999,10,21,26.38
43.91,32.07,0.89,0.86,0.09,160.99,76.76,2.5315805339747683,41.99,33.72,5.06,4.04,0.51,101.83,47.15,10,9,-6.090000000000003,10,40,34.09
71.11,24.12,1.18,1.01,0.12,135.59,105.41,2.063710250980017,69.41,25.29,4.55,3.38,0.46,137.03,201.36,9,9,-6.890000000000001,10,32,22.89
89.03,28.88,0.52,1.3,0.04,152.24,76.72,3.506978756707828,92.36,27.78,3.82,2.04,0.4,324.84,262.14,11,10,-7.969999999999999,7,13,15.969999999999999
99.96,23.82,0.23,0.37,0.02,114.47,147.99,4.01254283466233,100.47,19.84,4.36,0.93,0.47,32.22,282.12,7,11,-5.040000000000006,5,5,10.040000000000006
72.87,24.32,0.69,0.39,0.08,354.08,35.77,1.7910890541790505,71.31,25.2,3.14,1.48,0.33,107.53,97.04,3,6,-6.8700000000000045,2,44,18.870000000000005
50.94,42.14,7.24,1.99,0.73,333.42,350.9,2.792131802046602,48.16,41.88,8.22,1.26,0.82,37.76,15.81,4,11,-3.9399999999999977,3,37,11.939999999999998
47.55,30.75,4.9,1.76,0.49,319.29,22.89,4.545327270945399,43.13,31.81,5.96,4.17,0.58,75.52,63.21,0,2,-8.549999999999997,10,29,15.549999999999997
30.26,24.85,0.39,2.39,0.05,118.81,265.36,3.181980515339462,31.79,27.64,0.44,4.57,0.06,200.27,289.91,0,1,-7.739999999999998,7,28,34.739999999999995
9.33,29.82,0.68,0.41,0.07,131.45,314.01,3.1250759990758628,11.78,27.88,1.51,1.72,0.15,287.08,217.42,1,0,-7.67,8,7,12.67
66.02,28.65,0.11,1.01,0.01,307.95,316.82,3.4511737133908476,62.57,28.56,1.45,1.69,0.16,56.09,123.54,10,10,-8.019999999999996,8,48,13.019999999999996
59.44,26.98,0.85,2.35,0.09,310.31,57.55,3.670013623952914,56.51,29.19,3.48,1.36,0.37,130.17,103.12,0,0,-6.439999999999998,3,43,25.439999999999998
41.32,29.97,1.37,0.77,0.13,352.22,270.28,4.32782855482978,37.97,32.71,2.25,1.06,0.23,144.23,57.61,1,0,-7.32,10,24,24.32
20.26,37.47,5.92,2.52,0.6,303.27,347.09,6.052900131342002,17.0,32.37,3.03,1.24,0.31,74.62,22.83,2,0,-8.260000000000002,2,2,10.260000000000002
28.14,22.9,0.2,1.26,0.02,141.56,113.93,3.8862321083538,32.02,23.12,3.38,0.3,0.34,270.1,224.94,9,11,-6.859999999999999,10,25,28.86
66.88,7.62,7.03,1.84,0.71,140.79,164.7,5.453090866655359,72.09,9.23,9.28,0.99,0.93,201.53,211.95,2,0,-4.1200000000000045,10,39,10.120000000000005
82.61,29.33,1.14,2.09,0.12,170.83,196.09,2.3477648945326663,84.77,28.41,4.03,1.74,0.41,238.06,275.79,4,7,-10.39,7,17,14.39
76.86,27.49,0.55,1.93,0.06,121.32,335.85,2.2722015755649827,78.91,28.47,3.31,2.77,0.34,240.82,293.86,1,7,-8.14,8,25,21.14
74.54,29.68,0.49,1.75,0.06,295.43,94.3,5.216368468580424,71.46,33.89,3.07,2.39,0.32,125.68,81.94,0,3,-7.540000000000006,10,43,17.540000000000006
61.34,24.61,1.74,1.67,0.18,359.49,276.77,2.3076394865749674,63.4,23.57,1.91,2.85,0.2,301.7,19.41,7,5,-4.340000000000003,10,47,51.34
28.46,30.39,0.94,1.31,0.09,78.77,333.74,1.9944924166313585,30.32,31.11,2.75,1.97,0.28,224.28,254.6,2,0,-6.539999999999999,10,25,17.54
37.92,31.28,1.67,0.32,0.16,118.91,31.98,2.8532788156785562,36.66,28.72,3.44,1.39,0.37,8.31,325.16,6,6,-8.079999999999998,10,36,16.08
65.02,30.54,1.25,1.61,0.12,109.1,12.81,2.4016869071550535,65.86,32.79,2.37,2.7,0.24,164.38,234.81,5,0,-6.980000000000004,10,38,13.980000000000004
70.08,29.11,0.95,0.82,0.09,108.13,172.55,1.4770917371646286,71.51,29.48,2.97,0.52,0.29,304.7,285.17,5,11,-8.920000000000002,3,31,18.92
26.76,30.64,0.98,1.35,0.1,61.89,321.23,4.7712472163995,30.68,27.92,0.65,2.6,0.09,244.51,331.81,1,1,-8.239999999999998,10,25,13.239999999999998
