receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenders_in_path,pass_length,yards_to_go,yardline_num,yards_gained
80.48,37.68,6.24,1.27,0.62,134.22,191.08,3.528809997718784,10,5.0,10,25,1
68.52,37.19,4.26,1.16,0.42,113.42,329.16,4.238348735061799,4,-3.0,3,45,9
52.69,28.93,4.75,0.97,0.48,110.71,220.26,2.6874523251585334,4,6.0,8,47,6
38.35,45.54,7.48,2.97,0.76,87.02,334.9,1.1088733020503303,0,6.0,9,34,2
21.37,43.39,8.34,0.76,0.85,336.0,306.19,7.95633081262965,0,15.0,1,26,11
49.93,2.48,6.92,2.67,0.71,289.07,143.29,5.64910612398103,0,22.0,8,19,1
49.27,16.63,3.76,1.88,0.37,270.72,165.55,4.295346318982902,1,-3.0,9,43,13
61.53,46.34,2.01,0.8,0.2,172.22,23.28,7.815299098563025,1,-1.0,10,47,5
63.35,20.45,2.99,3.92,0.31,314.41,99.54,2.899948275400781,5,6.0,14,49,0
87.89,37.83,5.56,2.11,0.56,94.4,252.1,3.0410524493997126,6,8.0,4,15,2
86.26,13.31,4.95,1.49,0.5,297.03,197.83,6.479506154021313,1,-1.0,10,25,12
63.93,4.4,4.93,1.81,0.51,56.19,231.71,4.8915539453224905,2,12.0,10,36,0
64.43,16.36,2.59,2.56,0.25,356.2,182.66,3.3839621747295032,2,-3.0,10,48,8
40.68,43.74,1.68,1.23,0.17,219.79,18.19,5.248475969269552,0,1.0,10,32,2
38.5,17.59,0.69,1.63,0.06,323.33,253.22,4.850742211249736,4,5.0,10,24,1
83.92,6.25,2.33,1.87,0.24,333.53,218.78,6.6299999999999955,2,-4.0,4,30,5
40.48,9.13,5.59,0.93,0.56,248.75,169.27,8.328631340142273,1,-1.0,10,32,3
60.08,37.48,2.07,5.11,0.23,248.1,145.13,2.0106963967740175,8,10.0,2,40,0
81.89,42.82,4.5,2.18,0.46,132.28,25.36,5.960411059650158,1,-3.0,6,25,5
59.35,20.71,0.87,2.1,0.1,32.25,260.48,3.387107910887994,5,7.0,6,44,5
47.04,8.78,8.1,1.41,0.82,145.89,190.41,8.184601395303256,0,0.0,10,36,6
37.39,10.57,1.64,2.31,0.17,71.21,73.68,4.455670544373767,7,12.0,14,40,0
39.29,37.97,1.33,2.09,0.13,173.15,191.25,4.515229783743014,9,-2.0,2,28,5
1.0,48.8,7.57,3.47,0.78,44.52,320.49,2.5587692353942355,0,4.0,4,4,0
45.6,51.54,5.07,3.12,0.52,62.21,56.56,1.2165525060596403,1,10.0,7,28,0
45.83,40.2,1.18,2.21,0.13,161.4,277.1,5.2455886228334725,6,5.0,10,40,4
51.02,14.46,0.51,2.9,0.06,339.56,148.61,5.6482563681192826,0,-3.0,19,38,2
25.36,23.79,2.28,2.57,0.22,223.0,120.89,4.887586316373349,5,3.0,8,13,1
27.63,11.16,3.56,1.56,0.35,64.06,335.56,5.4870392745086125,10,4.0,10,22,3
29.56,13.32,5.4,1.72,0.54,292.21,207.8,8.125890720407208,3,-5.0,3,15,13
55.59,48.32,6.68,1.38,0.67,337.71,20.41,2.0809613163151335,0,21.0,10,25,2
61.64,29.49,0.77,4.14,0.08,276.87,32.18,4.8749666665527105,4,4.0,10,48,6
79.15,27.37,6.55,1.68,0.67,184.67,198.38,2.987507322166759,4,9.0,10,22,2
73.96,20.11,4.85,1.51,0.48,331.93,325.24,2.698240167220107,6,2.0,9,34,2
67.61,38.15,5.56,0.68,0.56,51.32,357.53,2.36545978617266,2,4.0,5,38,2
95.74,31.79,7.44,3.83,0.75,179.25,125.49,1.4552662986546498,1,40.0,7,47,7
85.31,6.62,5.34,2.56,0.55,36.08,179.42,9.506808086839664,0,3.0,10,22,7
