receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,pass_length,yards_to_go,yardline_num,yards_gained
80.48,37.68,6.24,1.27,0.62,134.22,191.08,3.528809997718784,78.02,40.21,5.76,2.29,0.56,140.14,173.6,10,5.0,10,25,1
68.52,37.19,4.26,1.16,0.42,113.42,329.16,4.238348735061799,70.82,33.63,3.35,1.56,0.34,30.24,19.0,4,-3.0,3,45,9
52.69,28.93,4.75,0.97,0.48,110.71,220.26,2.6874523251585334,52.01,31.53,3.98,4.31,0.38,167.55,210.35,4,6.0,8,47,6
38.35,45.54,7.48,2.97,0.76,87.02,334.9,1.1088733020503303,38.21,44.44,8.56,0.98,0.86,356.04,338.28,0,6.0,9,34,2
21.37,43.39,8.34,0.76,0.85,336.0,306.19,7.95633081262965,26.43,37.25,7.34,1.49,0.74,302.88,316.48,0,15.0,1,26,11
49.93,2.48,6.92,2.67,0.71,289.07,143.29,5.64910612398103,53.73,6.66,7.85,0.89,0.79,170.46,180.73,0,22.0,8,19,1
49.27,16.63,3.76,1.88,0.37,270.72,165.55,4.295346318982902,52.51,19.45,2.7,1.75,0.27,235.51,165.89,1,-3.0,9,43,13
61.53,46.34,2.01,0.8,0.2,172.22,23.28,7.815299098563025,69.2,44.84,3.97,3.84,0.39,262.21,314.58,1,-1.0,10,47,5
63.35,20.45,2.99,3.92,0.31,314.41,99.54,2.899948275400781,66.24,20.69,4.76,1.24,0.48,249.77,260.49,5,6.0,14,49,0
87.89,37.83,5.56,2.11,0.56,94.4,252.1,3.0410524493997126,86.53,35.11,4.21,4.32,0.4,5.87,356.95,6,8.0,4,15,2
86.26,13.31,4.95,1.49,0.5,297.03,197.83,6.479506154021313,82.74,18.75,5.2,2.54,0.51,148.03,174.68,1,-1.0,10,25,12
63.93,4.4,4.93,1.81,0.51,56.19,231.71,4.8915539453224905,59.41,6.27,4.87,5.29,0.46,104.46,168.38,2,12.0,10,36,0
64.43,16.36,2.59,2.56,0.25,356.2,182.66,3.3839621747295032,62.79,19.32,2.65,2.18,0.27,189.02,146.55,2,-3.0,10,48,8
40.68,43.74,1.68,1.23,0.17,219.79,18.19,5.248475969269552,35.45,44.18,4.91,1.96,0.48,91.95,82.4,0,1.0,10,32,2
38.5,17.59,0.69,1.63,0.06,323.33,253.22,4.850742211249736,42.11,20.83,3.86,3.41,0.38,250.11,205.56,4,5.0,10,24,1
83.92,6.25,2.33,1.87,0.24,333.53,218.78,6.6299999999999955,77.29,6.25,4.74,1.9,0.46,82.36,109.22,2,-4.0,4,30,5
40.48,9.13,5.59,0.93,0.56,248.75,169.27,8.328631340142273,48.78,8.44,6.03,3.8,0.59,268.62,228.19,1,-1.0,10,32,3
60.08,37.48,2.07,5.11,0.23,248.1,145.13,2.0106963967740175,62.06,37.83,3.54,5.36,0.34,250.56,223.79,8,10.0,2,40,0
81.89,42.82,4.5,2.18,0.46,132.28,25.36,5.960411059650158,87.85,42.89,4.79,4.15,0.48,281.43,337.61,1,-3.0,6,25,5
59.35,20.71,0.87,2.1,0.1,32.25,260.48,3.387107910887994,56.94,18.33,1.54,4.89,0.15,65.09,359.88,5,7.0,6,44,5
47.04,8.78,8.1,1.41,0.82,145.89,190.41,8.184601395303256,51.58,15.59,6.38,3.91,0.69,206.1,191.97,0,0.0,10,36,6
37.39,10.57,1.64,2.31,0.17,71.21,73.68,4.455670544373767,33.08,9.44,5.89,2.11,0.59,72.8,83.53,7,12.0,14,40,0
39.29,37.97,1.33,2.09,0.13,173.15,191.25,4.515229783743014,34.96,39.25,4.58,2.96,0.48,93.64,92.81,9,-2.0,2,28,5
1.0,48.8,7.57,3.47,0.78,44.52,320.49,2.5587692353942355,2.93,47.12,6.76,2.81,0.69,22.33,330.8,0,4.0,4,4,0
45.6,51.54,5.07,3.12,0.52,62.21,56.56,1.2165525060596403,46.16,50.46,7.54,2.15,0.75,76.19,66.76,1,10.0,7,28,0
45.83,40.2,1.18,2.21,0.13,161.4,277.1,5.2455886228334725,41.52,37.21,2.84,4.22,0.27,64.24,30.61,6,5.0,10,40,4
51.02,14.46,0.51,2.9,0.06,339.56,148.61,5.6482563681192826,45.64,16.18,2.16,2.4,0.21,95.47,137.15,0,-3.0,19,38,2
25.36,23.79,2.28,2.57,0.22,223.0,120.89,4.887586316373349,30.18,22.98,3.91,3.0,0.38,275.97,262.08,5,3.0,8,13,1
27.63,11.16,3.56,1.56,0.35,64.06,335.56,5.4870392745086125,22.63,8.9,2.16,2.65,0.2,88.41,38.74,10,4.0,10,22,3
29.56,13.32,5.4,1.72,0.54,292.21,207.8,8.125890720407208,21.91,10.58,5.52,2.21,0.54,60.5,111.07,3,-5.0,3,15,13
55.59,48.32,6.68,1.38,0.67,337.71,20.41,2.0809613163151335,53.57,47.82,8.73,1.73,0.87,64.09,46.69,0,21.0,10,25,2
61.64,29.49,0.77,4.14,0.08,276.87,32.18,4.8749666665527105,66.51,29.27,4.73,4.53,0.46,272.32,264.02,4,4.0,10,48,6
79.15,27.37,6.55,1.68,0.67,184.67,198.38,2.987507322166759,77.79,30.03,6.85,1.14,0.68,146.26,187.92,4,9.0,10,22,2
73.96,20.11,4.85,1.51,0.48,331.93,325.24,2.698240167220107,71.38,20.9,3.4,2.44,0.34,342.04,29.32,6,2.0,9,34,2
67.61,38.15,5.56,0.68,0.56,51.32,357.53,2.36545978617266,67.88,35.8,6.22,1.51,0.62,14.53,1.14,2,4.0,5,38,2
95.74,31.79,7.44,3.83,0.75,179.25,125.49,1.4552662986546498,96.01,33.22,8.59,4.53,0.87,173.5,126.94,1,40.0,7,47,7
85.31,6.62,5.34,2.56,0.55,36.08,179.42,9.506808086839664,82.66,15.75,7.44,1.15,0.74,168.95,171.46,0,3.0,10,22,7
74.75,35.65,0.43,2.08,0.04,161.28,135.78,5.282281703960891,70.75,32.2,3.67,1.87,0.36,67.69,46.07,7,3.0,10,32,4
67.61,6.53,6.79,1.0,0.69,82.26,178.98,2.931279584072456,66.81,9.35,7.88,1.32,0.79,162.55,178.19,0,3.0,3,39,1
51.6,18.28,5.27,1.57,0.53,240.69,180.48,2.105825253908786,53.56,17.51,5.55,0.92,0.56,252.64,211.24,2,1.0,10,41,0
108.22,7.97,6.38,3.2,0.65,289.55,88.12,1.8726718879718405,106.35,8.07,10.11,2.23,1.02,78.87,90.25,0,52.0,4,47,1
97.07,15.92,7.2,2.66,0.72,276.9,196.13,8.11036990525093,96.66,24.02,3.41,3.79,0.36,177.62,167.45,1,-5.0,15,19,10
80.39,33.52,3.94,1.77,0.39,75.27,359.39,6.753702688155582,73.65,33.09,3.64,4.71,0.34,79.26,42.93,2,6.0,10,24,3
71.13,13.83,0.42,1.23,0.03,34.07,86.67,2.5433245958783868,68.59,13.7,4.1,2.75,0.4,73.35,96.17,1,5.0,10,34,1
68.29,43.83,5.93,1.49,0.61,85.43,347.4,4.029714630094799,64.44,42.64,6.81,3.13,0.67,57.4,22.88,0,2.0,4,40,3
72.18,29.92,1.77,2.08,0.19,172.16,259.16,4.002811511925089,69.9,26.63,4.87,2.92,0.48,37.66,23.12,7,4.0,10,34,2
64.0,47.24,2.21,2.0,0.22,126.03,20.22,4.847927392195553,59.2,46.56,3.78,3.88,0.36,87.9,49.69,0,6.0,4,40,-1
62.14,29.99,5.4,2.85,0.54,167.73,210.91,5.071193153489624,62.25,35.06,4.04,2.93,0.39,186.25,197.6,5,4.0,10,45,7
49.53,31.83,1.71,2.69,0.16,116.56,346.75,3.006210238822295,47.46,29.65,4.01,2.97,0.39,62.36,25.75,2,4.0,10,44,0
50.45,10.64,3.87,2.6,0.38,8.38,14.49,2.6021913841990956,48.6,8.81,2.46,3.52,0.23,46.77,10.73,9,-1.0,6,40,29
53.07,26.75,4.37,0.69,0.44,334.58,42.98,5.94428296769257,57.86,30.27,3.4,5.4,0.31,228.47,233.0,6,1.0,4,42,4
66.26,21.44,8.09,1.29,0.81,206.82,176.12,6.725213751249842,72.84,20.05,6.89,2.64,0.68,234.16,201.45,4,8.0,8,49,3
29.16,36.57,1.47,3.34,0.14,150.08,10.66,8.346406412342978,27.36,28.42,3.3,2.83,0.34,229.3,243.14,2,-2.0,10,21,7
86.08,39.48,0.55,0.8,0.06,234.33,78.61,2.551548549410727,83.56,39.88,3.03,2.18,0.31,131.39,49.49,0,-4.0,5,28,8
54.07,15.35,6.33,2.43,0.63,334.7,5.24,2.2033610689126744,54.95,13.33,7.11,4.68,0.71,359.3,17.48,5,19.0,10,25,3
