receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,friends_in_path,pass_length,yards_to_go,yardline_num,yards_gained
79.85,35.59,4.61,4.82,0.45,114.27,202.2,2.828002828852891,78.15,37.85,5.88,1.23,0.59,140.96,178.5,8,4,5.0,10,25,1
67.89,38.41,4.75,1.46,0.47,52.19,335.55,4.2783291131001135,68.93,34.26,4.44,3.47,0.45,18.51,358.93,2,3,-3.0,3,45,9
51.68,27.87,5.0,1.4,0.5,117.58,226.52,2.4622144504490238,51.35,30.31,5.21,2.97,0.5,187.23,208.17,4,2,6.0,8,47,6
37.68,46.87,7.26,2.74,0.74,93.99,331.4,0.8614522621712654,37.54,46.02,8.6,1.23,0.86,355.17,336.33,1,0,6.0,9,34,2
19.3,44.85,8.43,0.93,0.85,315.91,304.27,8.202103388765591,24.86,38.82,7.56,0.96,0.76,299.98,313.74,0,0,15.0,1,26,11
51.62,0.41,6.42,1.82,0.65,75.13,138.52,3.7833847279915904,53.76,3.53,7.56,2.54,0.77,172.32,177.23,0,0,22.0,8,19,1
49.86,15.15,4.12,1.61,0.41,251.61,153.84,4.462118331017229,53.05,18.27,3.48,1.56,0.36,221.95,149.26,1,0,-3.0,9,43,13
62.07,47.17,2.89,2.03,0.28,145.54,38.46,5.826705758831491,67.79,46.06,5.06,1.2,0.5,274.86,311.15,2,4,-1.0,10,47,5
63.78,20.33,1.75,5.33,0.19,313.96,113.77,1.6124515496597045,65.38,20.53,4.1,3.02,0.42,252.81,258.4,4,3,6.0,14,49,0
86.37,37.38,4.92,2.48,0.5,76.62,254.75,0.8321658488546675,86.43,36.55,5.15,1.68,0.5,336.78,355.6,5,3,8.0,4,15,2
85.68,11.93,5.0,2.26,0.5,264.94,207.7,5.910372238700369,82.78,17.08,5.94,2.39,0.58,174.64,182.42,2,0,-1.0,10,25,12
62.82,3.49,4.56,1.98,0.46,99.63,226.9,3.173972274611105,59.92,4.78,5.58,3.52,0.55,108.61,155.0,1,0,12.0,10,36,0
64.08,15.25,3.34,3.01,0.32,309.54,209.11,2.9261749776799064,63.08,18.0,3.72,2.48,0.39,247.05,176.38,3,0,-3.0,10,48,8
40.72,44.33,1.4,1.35,0.14,260.4,352.66,3.4270687183072375,37.3,44.55,4.27,2.98,0.45,92.7,73.59,1,0,1.0,10,32,2
38.27,17.82,1.27,2.95,0.12,344.32,343.3,3.3815528977083837,41.12,19.64,3.99,3.74,0.4,245.27,233.06,8,0,5.0,10,24,1
83.42,5.77,2.25,1.71,0.22,303.2,233.86,4.760000000000005,78.66,5.77,4.75,0.77,0.48,81.67,109.1,4,3,-4.0,4,30,5
40.82,7.52,5.35,1.33,0.54,159.65,167.36,6.427005523570057,47.24,7.22,6.88,1.9,0.68,266.1,233.34,1,0,-1.0,10,32,3
60.21,37.21,0.99,5.18,0.12,267.64,170.69,1.2677539193392364,61.47,37.35,3.98,3.89,0.39,273.4,237.11,9,11,10.0,2,40,0
82.79,44.02,3.27,3.68,0.34,141.99,47.21,4.086783576359279,86.86,44.39,4.06,4.14,0.42,262.03,315.04,3,0,-3.0,6,25,5
58.92,20.73,1.5,1.9,0.14,34.54,281.44,2.3555254190944335,57.21,19.11,2.6,1.8,0.25,64.75,22.57,7,2,7.0,6,44,5
46.48,6.46,7.7,2.58,0.78,192.29,195.18,8.449739640959361,50.82,13.71,6.61,3.83,0.68,212.38,207.06,0,0,0.0,10,36,6
37.8,11.11,2.0,2.69,0.21,63.4,21.45,2.3513613078385056,37.88,13.46,5.34,2.5,0.54,212.33,197.12,9,11,12.0,14,40,0
39.07,37.5,2.04,2.42,0.2,194.38,213.46,3.1295047531518443,36.34,39.03,4.76,2.09,0.47,104.34,102.4,9,0,-2.0,2,28,5
47.13,52.57,4.3,1.72,0.44,62.32,55.67,1.9535864454894198,48.82,51.59,6.87,2.42,0.67,102.61,67.8,2,0,10.0,7,28,0
45.35,40.28,1.69,0.79,0.18,192.97,277.25,3.9971239660535933,42.06,38.01,3.42,1.38,0.34,60.96,36.66,6,0,5.0,10,40,4
50.72,14.41,1.76,4.81,0.15,307.83,280.83,4.484651602967615,46.36,15.46,2.69,0.45,0.27,94.46,133.62,10,6,-3.0,19,38,2
25.86,23.78,1.04,3.47,0.12,247.64,58.59,2.752816739269072,28.5,23.0,4.37,2.2,0.43,281.81,276.83,5,9,3.0,8,13,1
27.15,13.07,4.38,2.54,0.43,30.57,355.5,4.099390198553926,25.54,16.84,2.76,2.82,0.28,142.11,170.48,10,11,4.0,10,22,3
28.59,11.34,5.58,0.81,0.56,269.96,204.76,4.9173671817345515,23.93,9.77,5.18,1.84,0.52,65.07,113.46,2,0,-5.0,3,15,13
56.33,50.19,6.64,1.05,0.67,336.16,22.27,1.1047624178980708,55.35,49.68,8.31,2.97,0.84,62.65,41.43,0,1,21.0,10,25,2
