receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,friends_in_path,pass_length,yards_to_go,yardline_num,yards_gained
80.95,40.63,5.37,4.49,0.52,139.71,191.4,3.865591804627079,77.63,42.61,3.58,4.6,0.34,133.17,166.72,10,11,5.0,10,25,1
69.76,35.35,2.98,2.47,0.29,194.57,324.78,3.2755152266475607,69.95,32.08,2.31,1.77,0.25,94.3,43.97,4,3,-3.0,3,45,9
54.2,30.8,4.91,2.42,0.49,111.56,218.88,2.036295656332846,53.11,32.52,2.49,5.13,0.26,125.31,263.14,7,3,6.0,8,47,6
39.99,41.09,8.08,0.87,0.81,76.44,343.19,1.3943457247038846,39.88,39.7,7.94,0.74,0.8,347.69,344.0,0,0,6.0,9,34,2
30.51,36.05,6.7,2.43,0.66,356.91,307.88,6.2792515477563065,36.72,36.98,4.27,2.24,0.43,66.85,1.62,0,0,15.0,1,26,11
43.62,12.44,7.94,3.37,0.79,216.08,139.95,5.699140286043146,38.03,11.33,4.26,0.19,0.43,37.88,135.43,1,3,22.0,8,19,1
49.0,18.11,2.04,4.31,0.18,258.94,179.11,3.1401433088316204,46.63,20.17,5.05,1.43,0.54,301.75,318.4,1,0,-3.0,9,43,13
60.56,44.2,3.57,2.44,0.37,154.99,20.51,9.087849030436185,69.55,42.87,2.94,2.41,0.3,182.45,48.83,1,3,-1.0,10,47,5
60.44,20.5,4.65,1.23,0.46,57.65,87.2,7.449194587336275,65.2,14.77,1.02,0.77,0.1,279.64,139.89,0,0,6.0,14,49,0
91.34,38.8,6.08,3.72,0.6,239.62,260.13,5.8494615136779915,86.45,42.01,2.84,2.74,0.28,144.65,253.07,7,4,8.0,4,15,2
86.98,17.13,4.42,2.63,0.43,301.11,182.85,6.480570962500143,82.25,21.56,1.38,5.26,0.11,94.71,160.76,1,0,-1.0,10,25,12
68.07,7.36,6.35,2.15,0.64,322.99,234.61,7.54660188429202,60.81,9.42,4.18,1.14,0.42,37.81,240.17,2,0,12.0,10,36,0
64.25,17.3,2.28,1.13,0.22,335.82,159.41,3.4205262752974144,62.15,20.0,1.78,1.14,0.18,139.65,111.18,0,0,-3.0,10,48,8
40.06,42.49,1.55,3.4,0.16,106.0,20.04,7.305648499620008,32.91,43.99,0.44,6.94,0.02,133.25,77.99,0,0,1.0,10,32,2
38.29,17.91,2.05,5.32,0.23,346.57,104.7,5.19665276885035,40.13,13.05,7.04,2.75,0.71,60.7,129.09,4,4,5.0,10,24,1
85.55,9.34,4.87,3.12,0.5,308.91,200.55,10.811003653685436,74.98,7.07,1.11,5.22,0.13,347.33,265.51,1,0,-4.0,4,30,5
39.27,14.41,6.67,1.84,0.67,250.22,163.35,6.922022825735269,33.37,18.03,3.63,5.13,0.39,25.55,318.97,2,0,-1.0,10,32,3
56.92,39.64,6.18,2.47,0.62,143.57,112.6,1.1506954418958983,55.77,39.6,4.24,2.61,0.44,260.78,19.96,6,4,10.0,2,40,0
80.74,40.0,5.46,1.74,0.55,116.12,18.82,7.280988943818005,88.02,40.12,4.64,3.72,0.46,294.8,16.04,2,0,-3.0,6,25,5
60.74,20.87,3.61,4.17,0.38,341.59,267.8,4.189045237282596,57.99,17.71,2.89,2.02,0.29,62.89,270.3,0,2,7.0,6,44,5
48.09,13.6,8.21,0.61,0.82,130.6,193.95,6.7845265125873,51.56,19.43,5.91,2.44,0.62,163.66,162.45,1,0,0.0,10,36,6
35.3,10.48,2.55,2.38,0.25,86.11,83.6,5.6300088809876705,38.67,5.97,2.73,2.71,0.28,62.53,190.09,8,9,12.0,14,40,0
39.01,38.53,0.49,3.64,0.05,179.74,50.78,6.501107597940523,32.51,38.65,1.94,4.06,0.18,74.12,28.29,0,11,-2.0,2,28,5
6.87,39.38,6.59,5.35,0.65,322.16,315.34,1.230162590879759,5.7,39.0,3.47,2.03,0.34,75.38,336.21,1,3,4.0,4,4,0
